id,comisión id,Tipo de viaje,Tipo de pasaje,Pais de origen,Estado de origen,Ciudad de origen,Pais de destino,Estado o equivalente de destino,Ciudad de destino,Institucion que cubre hospedaje,Aerolinea de vuelo de ida,Numero de vuelo de ida,Aerolineas de vuelo de regreso,Numero de vuelo de regreso,Fecha de inicio de la comision,Fecha de termino de la comision,Gasto por concepto de pasajes en MN,Observaciones
12,2012.I.0001,2,4,México,Distrito Federal,Ciudad de México,Uruguay,Maldonado,Punta del Este,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Viaje cancelado
13,2013.N.0002,1,1,México,Distrito Federal,Ciudad de México,México,Hidalgo,Pachuca,No aplica,No aplica,No aplica,No aplica,No aplica,28/01/13,28/01/13,329,No aplica
14,2013.I.0013,2,2,México,Distrito Federal,Ciudad de México,Chile,Santiago de Chile,Santiago de Chile,IFAI,AeroMéxico,AM010,AeroMéxico,AM8001,21/04/13,26/04/13,26120,No aplica
15,2013.I.0006,2,2,México,Distrito Federal,Ciudad de México,Colombia,Bogotá,Cundinamarca,IFAI,Avianca,AV 23,Avianca,AV 72,3/3/2013,16/03/13,11594,No aplica
16,2013.N.0016,1,1,México,Distrito Federal,Ciudad de México,México,Puebla,Puebla,No aplica,No aplica,No aplica,No aplica,No aplica,11/2/2013,11/2/2013,260,No aplica
17,2013.N.0033,1,1,México,Distrito Federal,Ciudad de México,México,Puebla,Puebla,No aplica,No aplica,No aplica,No aplica,No aplica,29/04/13,29/04/13,No disponible,No aplica
18,2013.N.0032,1,2,México,Distrito Federal,Ciudad de México,México,Guanajuato,Leóón,IFAI,AeroMéxico,AM 130,AeroMéxico,AM 131,25/04/13,30/04/13,7448,No aplica
19,2013.N.0031,1,1,México,Distrito Federal,Ciudad de México,México,Veracruz,Cordoba,IFAI,No aplica,No aplica,No aplica,No aplica,22/04/13,24/04/13,752,No aplica
20,2013.N.0030,1,1,México,Distrito Federal,Ciudad de México,México,Veracruz,Cordoba,IFAI,No aplica,No aplica,No aplica,No aplica,22/04/13,24/04/13,752,No aplica
21,2013.N.0034,1,1,México,Distrito Federal,Ciudad de México,México,Querétaro,Querétaro,IFAI,No aplica,No aplica,No aplica,No aplica,8/5/2013,9/5/2013,697.55,No aplica
22,2013.N.0035,1,2,México,Distrito Federal,Ciudad de México,México,Nayarit,Tepic,No aplica,Aeromar,VW 0140H,Aeromar,VW 0143N,13/05/13,13/05/13,7336,No aplica
23,2013.N.0036,1,2,México,Distrito Federal,Ciudad de México,México,Guanajuato,"Leóón
San Miguel de Allende
Celaya
Irapuato",IACIP,AeroMéxico,AM 164,AeroMéxico,AM 165,8/5/2013,9/5/2013,No disponible,No aplica
24,2013.N.0037,1,2,México,Distrito Federal,Ciudad de México,México,Yucatán,Mérida,No aplica,AeroMéxico,AM 420,AeroMéxico,AM 526,24/05/13,24/05/13,5302,No aplica
25,2013.I.0018,2,2,México,Distrito Federal,Ciudad de México,Estados Unidos de América,Florida,Miami,IFAI,American Airlines,2100,American Airlines,2199,15/05/13,18/05/13,No aplica,No aplica
26,2013.N.0038,1,2,México,Distrito Federal,Ciudad de México,México,Baja California,Ensenada,IFAI,No disponible,No disponible,Volaris,Y4 812,30/05/13,31/05/13,No disponible,No aplica
27,2013.N.0039,1,1,México,Distrito Federal,Ciudad de México,México,México,Toluca,No aplica,No aplica,No aplica,No aplica,No aplica,12/6/2013,12/6/2013,No disponible,No aplica
28,2013.N.0040,1,1,México,Distrito Federal,Ciudad de México,México,Morelos,Cuernavaca,IFAI,No aplica,No aplica,No aplica,No aplica,5/6/2013,7/6/2013,190,No aplica
29,2013.N.0041,1,1,México,Distrito Federal,Ciudad de México,México,México,Toluca,No aplica,No aplica,No aplica,No aplica,No aplica,12/6/2013,12/6/2013,498.5,No aplica
30,2013.N.0042,1,2,México,Distrito Federal,Ciudad de México,México,Jalisco,Guadalajara,IFAI,AeroMéxico,AM 100,AeroMéxico,AM 233,3/5/2013,3/5/2013,5606,No aplica
31,2013.N.0043,1,4,México,Distrito Federal,Ciudad de México,México,Tlaxcala,Tlaxcala,No aplica,No aplica,No aplica,No aplica,No aplica,16/05/13,16/05/13,0,No aplica
32,2013.N.0044,1,1,México,Distrito Federal,Ciudad de México,México,Tlaxcala,Tlaxcala,No aplica,No aplica,No aplica,No aplica,No aplica,14/06/13,14/06/13,854.01,No aplica
33,2013.N.0045,1,2,México,Distrito Federal,Ciudad de México,México,Nuevo Leon,Monterrey,No disponible,AeroMéxico,AM 906,Interjet,2115,27/05/13,28/05/13,2663,No aplica
34,2013.I.0019,2,2,México,Distrito Federal,Ciudad de México,Peru,Lima,Lima,No disponible,AeroMéxico,AM 18,AeroMéxico,AM 49,8/5/2013,11/5/2013,No disponible,Organizador Cubrio Gastos
35,2013.N.0046,1,1,México,Distrito Federal,Ciudad de México,México,Guanajuato,Leon,IFAI,No aplica,No aplica,No aplica,No aplica,1/5/2013,5/5/2013,5482,No aplica
36,2013.N.0047,1,1,México,Distrito Federal,Ciudad de México,México,Morelos,Cuernavaca,No aplica,No aplica,No aplica,No aplica,No aplica,22/03/13,22/03/13,62.5,No aplica
37,2013.N.0024,1,1,México,Distrito Federal,Ciudad de México,México,Queretaro,Queretaro,IFAI,No aplica,No aplica,No aplica,No aplica,8/4/2013,8/4/2013,883.94,No aplica
38,2013.I.0007,2,2,México,Distrito Federal,Ciudad de México,Estados Unidos de America,Washington,Washington D. C.,No disponible,AeroMéxico,AM 622,AeroMéxico,AM 623,6/3/2013,10/3/2013,7610,No aplica
